ISO_A3,NAM_1,NAM_2,date,ntl_sum,ntl_mean,ntl_median,ntl_max,ntl_q05,ntl_q95,southwest_group,post_padma
BGD,Barishal,Bhola,2021-02-01,1421.9935302734375,0.1625049710273742,0.0569768140109552,72.83393096923828,0.0056976814010955,0.7942578032483861,1,0
BGD,Rajshahi,Bogura,2021-02-01,6347.27197265625,0.4237005412578583,0.3672851161316194,14.729406356811523,0.0367285116131619,1.967265723898808,0,0
BGD,Chattogram,Brahmanbaria,2021-02-01,5910.40869140625,0.6098361015319824,0.4882975959574373,37.775123596191406,0.0488297595957437,1.8959064006546928,0,0
BGD,Chattogram,Chandpur,2021-02-01,1668.8428955078125,0.2247038185596466,0.3273054513632036,14.387346267700195,0.0327305451363203,0.9280715308317892,0,0
BGD,Rajshahi,Chapainawabganj,2021-02-01,1724.903076171875,0.19402876496315,0.2972708825409159,7.492885112762451,0.0297270882540915,1.163115730623915,0,0
BGD,Chattogram,Chittagong,2021-02-01,31527.37890625,1.457079291343689,0.5101583284941879,195.986328125,0.0145418588929266,5.731711414189538,0,0
BGD,Khulna,Chuadanga,2021-02-01,1377.2264404296875,0.2361158728599548,0.3312421849417144,9.648162841796877,0.0331242184941714,1.082846447957013,1,0
BGD,Chattogram,Cox's Bazar,2021-02-01,5243.6435546875,0.5078755617141724,0.0089167989992601,32.879859924316406,0.000891679899926,2.122568997688693,0,0
BGD,Chattogram,Cumilla,2021-02-01,12532.64453125,0.8018466234207153,0.6201929860411826,23.076133728027344,0.0758911360873627,2.5315103832872143,0,0
BGD,Dhaka,Dhaka,2021-02-01,46525.77734375,6.304028034210205,1.3743277119155208,127.1015625,0.1349197860172252,30.7462802909466,0,0
BGD,Rangpur,Dinajpur,2021-02-01,4934.9228515625,0.276337206363678,0.3405651329339568,13.100615501403809,0.0340565132933956,1.1946944352058588,0,0
BGD,Dhaka,Faridpur,2021-02-01,2940.28369140625,0.3022051453590393,0.3381507455829537,27.368389129638672,0.0338150745582953,1.2308298838135416,1,0
BGD,Chattogram,Feni,2021-02-01,3946.149658203125,0.8750873804092407,0.6683881639202504,25.240339279174805,0.1008871429339279,2.5103109520538265,0,0
BGD,Rangpur,Gaibandha,2021-02-01,1904.818603515625,0.170291855931282,0.3071941502086182,6.856027603149414,0.0307194150208618,0.9285564981959182,0,0
BGD,Dhaka,Gazipur,2021-02-01,18700.712890625,2.0743601322174072,0.7643421244585007,72.8633041381836,0.0806302340550766,9.913249579253064,0,0
